num_updates,num_env_steps,sps,steps_per_second,time_delta,solve_rate/SixteenRooms,solve_rate/SixteenRooms2,solve_rate/Labyrinth,solve_rate/LabyrinthFlipped,solve_rate/Labyrinth2,solve_rate/StandardMaze,solve_rate/StandardMaze2,solve_rate/StandardMaze3,solve_rate/mean,return/SixteenRooms,return/SixteenRooms2,return/Labyrinth,return/LabyrinthFlipped,return/Labyrinth2,return/StandardMaze,return/StandardMaze2,return/StandardMaze3,return/mean,eval_ep_lengths/mean,agent/loss,agent/critic_loss,agent/actor_loss,agent/entropy,level/mean_num_blocks,train/learnability,train/success_rate,level_sampler/size,level_sampler/episode_count,level_sampler/max_score,level_sampler/weighted_score,level_sampler/mean_score,level_sampler/mean_p,level_sampler/mean_max_return,sfl/topk_learnability,sfl/population_learnability,branch/num_dr_updates,branch/num_replay_updates,branch/num_mutation_updates,branch/num_sfl_updates,oracle/bias,oracle/brier,oracle/control_brier,oracle/control_learnability,oracle/control_rank_corr,oracle/predicted_learnability,oracle/rank_corr,oracle/selected_learnability,oracle/selection_gain,oracle/loss,oracle/observations,branch/num_oracle_inserts,oracle/buffer_mean_p
250.0,2048000.0,33126.80365587412,33126.80365587412,61.82304883003235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0001874510053312406,0.004266724921762943,-1.6748439302105567e-09,1.9459096193313599,23.32550048828125,0.052656251937150955,0.09587500244379044,2000.0,2000.0,0.25,nan,0.052656251937150955,0.09587500244379044,0.16127100586891174,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4051579236984253,2000.0,0.0,0.09676215797662735
500.0,4096000.0,58443.318397697345,29221.659198848673,70.08500051498413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0005745698581449687,0.004705142229795456,-6.410622881958261e-05,1.7138949632644653,25.036001205444336,0.13716846704483032,0.27080121636390686,3024.0,7032.0,0.24609375,nan,0.08295381814241409,0.13164465129375458,0.24020476639270782,0.08792375028133392,0.08792375028133392,250.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4936002492904663,7000.0,1.0,0.21347664296627045
750.0,6144000.0,215555.28342946,71851.76114315333,28.50312876701355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0020320701878517866,0.006356700323522091,-0.00012084879563190043,1.0254307985305786,26.36825180053711,0.17041440308094025,0.36869436502456665,4000.0,12064.0,0.25,0.22065527737140656,0.14172209799289703,0.19639767706394196,0.3463471233844757,0.1571982353925705,0.1571982353925705,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6200929880142212,8192.0,2.0,0.3328757584095001
1000.0,8192000.0,232107.04582852736,58026.76145713184,35.29405999183655,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.19840000569820404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024800000712275505,250.0,0.0040214271284639835,0.010077483020722866,-0.00022731898934580386,0.7899945378303528,27.188751220703125,0.16791385412216187,0.48979124426841736,4000.0,17096.0,0.25,0.2371690571308136,0.1961047202348709,0.23667685687541962,0.42565682530403137,0.2138599157333374,0.2138599157333374,250.0,375.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6835212111473083,8192.0,3.0,0.47577887773513794
1250.0,10240000.0,332735.1205608846,66547.02411217692,30.775230407714844,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0625,0.16815999150276184,0.0,0.0,0.0,0.0,0.0,0.0,0.009999996982514858,0.022269997745752335,250.0,0.005776707082986832,0.013142124749720097,-0.00023524169228039682,0.5591140389442444,27.83962631225586,0.15762822329998016,0.5733339190483093,4000.0,22128.0,0.2499757707118988,0.2450835108757019,0.22111283242702484,0.28850090503692627,0.5295001864433289,0.24999988079071045,0.24999988079071045,250.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5782468318939209,8192.0,4.0,0.6519162654876709
1500.0,12288000.0,399243.0896974753,66540.51494957921,30.77824091911316,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012500000186264515,0.020799994468688965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025999993085861206,246.25,0.005751810967922211,0.012738930061459541,-0.00022091339633334428,0.39674094319343567,26.674877166748047,0.15413431823253632,0.6105728149414062,4000.0,27160.0,0.25,0.2325488030910492,0.1928747296333313,0.3443281948566437,0.6376018524169922,0.2499992698431015,0.2499992698431015,250.0,625.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46226778626441956,8192.0,5.0,0.8616147637367249
1750.0,14336000.0,453235.1846235887,64747.88351765553,31.630377531051636,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.23367999494075775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02920999936759472,250.0,0.005958132911473513,0.013016046956181526,-0.00023071393661666662,0.31917646527290344,27.542251586914062,0.15528111159801483,0.6291029453277588,4000.0,32192.0,0.24904263019561768,0.2071559876203537,0.13493239879608154,0.39571911096572876,0.71941739320755,0.24996593594551086,0.24996593594551086,250.0,750.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4873608350753784,8192.0,6.0,0.8812679648399353
2000.0,16384000.0,505928.3871762197,63241.048397027465,32.38402986526489,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000298023224,0.19679999351501465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02459999918937683,250.0,0.005954565946012735,0.012986402027308941,-0.0002711901324801147,0.2674448490142822,27.852001190185547,0.15464520454406738,0.6382141709327698,4000.0,37224.0,0.2481536865234375,0.20274215936660767,0.12769439816474915,0.4433576464653015,0.7780394554138184,0.24989956617355347,0.24989956617355347,250.0,875.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4552697539329529,8192.0,7.0,0.8848039507865906
2250.0,18432000.0,562348.6118186793,62483.17909096437,32.77682137489319,0.20000000298023224,0.10000000149011612,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.05000000074505806,0.03691999241709709,0.036639995872974396,0.0,0.0,0.0,0.04887999966740608,0.0,0.0,0.015304997563362122,250.0,0.0064091552048921585,0.01372505258768797,-0.00021165733051020652,0.24171346426010132,27.420875549316406,0.14914891123771667,0.6452080011367798,4000.0,42256.0,0.2481536865234375,0.2006499469280243,0.12128480523824692,0.4833316206932068,0.8167144060134888,0.24983321130275726,0.24983321130275726,250.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42921820282936096,8192.0,8.0,0.8865756988525391
2500.0,20480000.0,627801.1108890037,62780.111088900376,32.62179636955261,0.5,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000298023224,0.2757199704647064,0.04887999966740608,0.0,0.0,0.0,0.0,0.0,0.0,0.040574997663497925,228.75,0.006233708467334509,0.013582611456513405,-0.0003357153036631644,0.22188213467597961,28.082626342773438,0.14762793481349945,0.667066752910614,4000.0,47288.0,0.24835258722305298,0.19997870922088623,0.12029274553060532,0.5220552086830139,0.8430455923080444,0.24984657764434814,0.24984657764434814,250.0,1125.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4824105203151703,8192.0,9.0,0.8961349129676819
2750.0,22528000.0,689133.6687434455,62648.51534031323,32.690319776535034,0.699999988079071,0.20000000298023224,0.0,0.0,0.20000000298023224,0.10000000149011612,0.20000000298023224,0.0,0.17499999701976776,0.36484000086784363,0.053839992731809616,0.0,0.0,0.06859999150037766,0.06255999952554703,0.07795999199151993,0.0,0.0784749984741211,229.5,0.006410276051610708,0.013814683072268963,-0.0003023120225407183,0.19475297629833221,28.469877243041992,0.15032903850078583,0.6661014556884766,4000.0,52320.0,0.25,0.19996236264705658,0.11576448380947113,0.5529287457466125,0.8591135144233704,0.24922984838485718,0.24922984838485718,250.0,1250.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46581345796585083,8192.0,10.0,0.9005882740020752
3000.0,24576000.0,752778.9468822774,62731.57890685645,32.64703416824341,0.699999988079071,0.5,0.0,0.0,0.699999988079071,0.0,0.10000000149011612,0.20000000298023224,0.2750000059604645,0.35043999552726746,0.18571998178958893,0.0,0.0,0.13659997284412384,0.0,0.023319995030760765,0.05239999294281006,0.09355999529361725,243.75,0.006167357787489891,0.013339653611183167,-0.0002823563409037888,0.22011226415634155,30.733125686645508,0.1575874239206314,0.6449505090713501,4000.0,57352.0,0.25,0.1991799920797348,0.11306441575288773,0.5821881294250488,0.8704797625541687,0.24887347221374512,0.24887347221374512,250.0,1375.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4701298773288727,8192.0,11.0,0.8999229073524475
3250.0,26624000.0,820432.6633194885,63110.20487072988,32.451170206069946,1.0,0.699999988079071,0.0,0.10000000149011612,0.5,0.20000000298023224,0.6000000238418579,0.4000000059604645,0.4375,0.6983200311660767,0.28564000129699707,0.0,0.039879996329545975,0.1849999874830246,0.08515999466180801,0.1892399936914444,0.17895999550819397,0.20777501165866852,214.875,0.0062487018294632435,0.013487111777067184,-0.0003195979807060212,0.1752558946609497,30.23025131225586,0.14522315561771393,0.6743271946907043,4000.0,62384.0,0.24716734886169434,0.1963355541229248,0.11113671213388443,0.6104007959365845,0.8790447115898132,0.2484206259250641,0.2484206259250641,250.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4485896825790405,8192.0,12.0,0.9099645018577576
3500.0,28672000.0,881764.5629629638,62983.18306878313,32.516616344451904,0.800000011920929,0.6000000238418579,0.0,0.4000000059604645,0.9000000357627869,0.0,0.5,0.6000000238418579,0.4750000238418579,0.45080000162124634,0.20759998261928558,0.0,0.13287998735904694,0.4373999536037445,0.0,0.1961599886417389,0.2446800023317337,0.20868998765945435,215.625,0.006181733682751656,0.013383850455284119,-0.00035932351602241397,0.15086808800697327,29.004125595092773,0.148941308259964,0.668481707572937,4000.0,67416.0,0.25,0.19745755195617676,0.10644533485174179,0.6355612874031067,0.8845435380935669,0.2467697262763977,0.2467697262763977,250.0,1625.0,1625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43243664503097534,8192.0,13.0,0.9095261096954346
3750.0,30720000.0,946566.5531272807,63104.43687515204,32.45413637161255,0.5,0.4000000059604645,0.0,0.4000000059604645,0.6000000238418579,0.20000000298023224,0.4000000059604645,0.5,0.375,0.26743999123573303,0.2037999927997589,0.0,0.18615999817848206,0.25727999210357666,0.09883999079465866,0.17895999550819397,0.20335999131202698,0.17447999119758606,207.0,0.006111981812864542,0.013300325721502304,-0.00039365061093121767,0.14453086256980896,29.254751205444336,0.1454145312309265,0.6955891251564026,4000.0,72448.0,0.2488914579153061,0.19741524755954742,0.108457051217556,0.6607755422592163,0.8919910788536072,0.24173128604888916,0.24173128604888916,250.0,1750.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46787646412849426,8192.0,14.0,0.8957998752593994
4000.0,32768000.0,1005983.0792123432,62873.94245077145,32.57311248779297,1.0,0.9000000357627869,0.0,0.0,0.10000000149011612,0.0,0.0,0.699999988079071,0.3375000059604645,0.6363999843597412,0.3801599442958832,0.0,0.0,0.04131999611854553,0.0,0.0,0.373119980096817,0.17887499928474426,208.25,0.006124784704297781,0.01335189864039421,-0.0004130757588427514,0.13808859884738922,29.52187728881836,0.13992509245872498,0.7118534445762634,4000.0,77480.0,0.243896484375,0.19664894044399261,0.11215634644031525,0.6837483048439026,0.8939774632453918,0.22782860696315765,0.22782860696315765,250.0,1875.0,1875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4121851325035095,8192.0,15.0,0.9155120849609375
