num_updates,num_env_steps,sps,steps_per_second,time_delta,solve_rate/SixteenRooms,solve_rate/SixteenRooms2,solve_rate/Labyrinth,solve_rate/LabyrinthFlipped,solve_rate/Labyrinth2,solve_rate/StandardMaze,solve_rate/StandardMaze2,solve_rate/StandardMaze3,solve_rate/mean,return/SixteenRooms,return/SixteenRooms2,return/Labyrinth,return/LabyrinthFlipped,return/Labyrinth2,return/StandardMaze,return/StandardMaze2,return/StandardMaze3,return/mean,eval_ep_lengths/mean,agent/loss,agent/critic_loss,agent/actor_loss,agent/entropy,level/mean_num_blocks,train/learnability,train/success_rate,level_sampler/size,level_sampler/episode_count,level_sampler/max_score,level_sampler/weighted_score,level_sampler/mean_score,level_sampler/mean_p,level_sampler/mean_max_return,sfl/topk_learnability,sfl/population_learnability,branch/num_dr_updates,branch/num_replay_updates,branch/num_mutation_updates,branch/num_sfl_updates
250.0,2048000.0,31704.720286740117,31704.720286740117,64.59605956077576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,-0.00018806493608281016,0.0033911140635609627,1.7886190306626304e-08,1.8836398124694824,23.31300163269043,0.05440625175833702,0.1016250029206276,1968.0,1968.0,0.25,nan,0.05529090762138367,0.10276931524276733,0.17793680727481842,0.10546875,0.052734375,242.0,0.0,0.0,8.0
500.0,4096000.0,79929.64455370004,39964.82227685002,51.24506711959839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0007712760125286877,0.004917990881949663,-5.7006709539564326e-05,1.6307127475738525,24.557626724243164,0.13430112600326538,0.27390411496162415,2963.0,6840.0,0.25,nan,0.07121258229017258,0.13781017065048218,0.2533589005470276,0.109375,0.0546875,242.0,121.0,121.0,16.0
750.0,6144000.0,190079.43164976308,63359.81054992102,32.32332897186279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0021691203583031893,0.006172708701342344,-0.00010440135520184413,0.8128325343132019,25.157001495361328,0.16443511843681335,0.368195116519928,3955.0,11712.0,0.25,nan,0.09712419658899307,0.2064879685640335,0.3583068251609802,0.21484375,0.1279296875,242.0,242.0,242.0,24.0
1000.0,8192000.0,255464.77491627293,63866.19372906823,32.06704330444336,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000298023224,0.25331997871398926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03166499733924866,250.0,0.004521519411355257,0.010890563018620014,-0.00016668457828927785,0.7570772171020508,25.569875717163086,0.16305404901504517,0.5082790851593018,4000.0,16584.0,0.25,0.2045275866985321,0.11831792443990707,0.25130483508110046,0.4436122179031372,0.20703125,0.1298828125,242.0,363.0,363.0,32.0
1250.0,10240000.0,321485.8757679145,64297.17515358291,31.852099180221558,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.22251999378204346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027814999222755432,228.625,0.006438710726797581,0.014070806093513966,-8.090330084087327e-05,0.5157894492149353,25.887001037597656,0.14952456951141357,0.6380003094673157,4000.0,21456.0,0.25,0.20982353389263153,0.14004142582416534,0.3005591332912445,0.5407170057296753,0.21875,0.126953125,242.0,484.0,484.0,40.0
1500.0,12288000.0,381146.8254864484,63524.47091440808,32.23954439163208,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0625,0.1818399876356125,0.0,0.0,0.0,0.0,0.0,0.0,0.04455999657511711,0.028299998492002487,250.0,0.0064806886948645115,0.014074181206524372,-0.00016671392950229347,0.3896876871585846,25.663375854492188,0.14017584919929504,0.6822233200073242,4000.0,26328.0,0.25,0.21516165137290955,0.15814386308193207,0.3508164882659912,0.6270394325256348,0.03515625,0.017578125,242.0,605.0,605.0,48.0
1750.0,14336000.0,444144.7634881949,63449.25192688499,32.277764320373535,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000037252903,0.09631999582052231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012039999477565289,250.0,0.005856822244822979,0.012667981907725334,-0.00015990623796824366,0.317262202501297,25.5731258392334,0.13784006237983704,0.6967391967773438,4000.0,31200.0,0.2497243881225586,0.2200336456298828,0.17321646213531494,0.3994884192943573,0.7035843133926392,0.109375,0.0546875,242.0,726.0,726.0,56.0
2000.0,16384000.0,506402.65802698245,63300.332253372806,32.35370063781738,0.30000001192092896,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0625,0.12936000525951385,0.02115999534726143,0.0,0.0,0.0,0.0,0.0,0.02871999703347683,0.022404998540878296,250.0,0.005974819418042898,0.01295128557831049,-0.000250832992605865,0.249990314245224,25.38500213623047,0.13320592045783997,0.7135014533996582,4000.0,36072.0,0.25,0.22506839036941528,0.18443025648593903,0.4462893307209015,0.7635981440544128,0.056640625,0.0283203125,242.0,847.0,847.0,64.0
2250.0,18432000.0,573240.1831926745,63693.353688074945,32.15406131744385,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.05000000074505806,0.12756000459194183,0.0,0.0,0.0,0.0,0.0,0.0,0.04095999523997307,0.02106500044465065,250.0,0.00578122865408659,0.01265045441687107,-0.0002874083584174514,0.25658997893333435,25.660625457763672,0.1305834800004959,0.7309170961380005,4000.0,40944.0,0.2499847412109375,0.2288045585155487,0.1917661726474762,0.4917265474796295,0.8080257773399353,0.046875,0.0234375,242.0,968.0,968.0,72.0
2500.0,20480000.0,642718.1471212046,64271.81471212046,31.864667415618896,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000037252903,0.13232000172138214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016540000215172768,250.0,0.005853641778230667,0.012772644869983196,-0.0002936990058515221,0.2389819473028183,25.778751373291016,0.1293574869632721,0.7360708117485046,4000.0,45816.0,0.24609375,0.22856953740119934,0.19508279860019684,0.5328992009162903,0.8370541334152222,0.052734375,0.0263671875,242.0,1089.0,1089.0,80.0
